"ROI1","ROI2","tval","df","pval"
"CBL","DAN",3.2497680513888,56,0.00195618491278448
"CBL","DMN",3.37554129412742,56,0.00134413346607697
"CBL","FPN",3.20639226912237,56,0.0022224028632677
"CBL","SMH",3.9329743967334,56,0.000233582926355055
"CBL","VAN",4.09216984819097,56,0.000138432240941628
"SAL","VAN",3.29217102840022,56,0.0017252198885502
